,date,claim,truth_rating,url,source,fact,explanation,keyword
361,2021-11-02T15:59:00Z,"An audit of votes in Maricopa County, Arizona, found 712,152 new votes for former U.S. President Donald Trump for the state of Arizona.",False,https://www.snopes.com/fact-check/maricopa-county-audit/,Snopes,,,vote
362,2021-05-20T10:59:17Z,"In May 2021, voters in five Oregon counties passed ballot measures to advance a plan to secede from the state and become part of Idaho.",True,https://www.snopes.com/fact-check/oregon-counties-vote-secede-idaho/,Snopes,,,vote
363,2021-05-17T12:59:12Z,"Barry Morphew, a Colorado man charged with murdering his wife, forged her mail-in ballot with a vote for former U.S. President Donald Trump in November 2020.",Unproven,https://www.snopes.com/fact-check/barry-morphew-missing-wife-ballot-trump/,Snopes,,,vote
364,2021-05-15T08:35:53Z,U.S. Rep. Matt Gaetz was the lone “nay” vote against the 2017 Combating Human Trafficking in Commercial Vehicles Act.,True,https://www.snopes.com/fact-check/matt-gaetz-anti-human-trafficking/,Snopes,,,vote
365,2021-05-05T15:51:51Z,"Race was the key difference in the disparate sentences given to Crystal Mason and Bruce Bartman, in two voter fraud convictions.",Mixture,https://www.snopes.com/fact-check/crystal-mason-bruce-bartman/,Snopes,,,vote
366,2021-04-26T16:33:26Z,"The 2020 Census count will result in shifts that include some states gaining U.S. House of Representative seats and Electoral College votes, others losing.",True,https://www.snopes.com/fact-check/2020-census-representation/,Snopes,,,vote
367,2021-04-23T14:05:45Z,Josh Hawley was the only U.S. senator to vote against a bill facilitating the expedited review of COVID–19 hate crimes in response to an increase in violence against Asian Americans and Pacific Islanders.,True,https://www.snopes.com/fact-check/hawley-hate-crime-vote/,Snopes,,,vote
368,2021-04-16T14:09:20Z,"U.S. representatives Marjorie Taylor-Greene and Lauren Boebert were the only lawmakers who voted against the Transplant Act of 2021, which reauthorizes the National Marrow Donor Program, a database that helps match donors and patients with serious blood diseases.",True,https://www.snopes.com/fact-check/taylor-greene-boebert-marrow/,Snopes,,,vote
369,2021-04-06T14:00:28Z,Colorado requires photo identification to vote in person.,False,https://www.snopes.com/fact-check/colorado-voting-photo-id/,Snopes,,,vote
370,2021-03-25T10:54:18Z,"In late March 2021, Republican Sen. Cindy Hyde-Smith expressed the opinion that voting on Sunday is wrong because it’s the Sabbath and dedicated to God.",True,https://www.snopes.com/fact-check/cindy-hyde-smith-voting-sabbath/,Snopes,,,vote
371,2021-03-16T17:27:03Z,"Democrats on the House Judiciary Committee voted against a requirement that ICE be notified when an ""illegal immigrant"" fails a gun background check, thus demonstrating they only oppose American citizens buying firearms.",Mixture,https://www.snopes.com/fact-check/democrats-illegal-immigrants-guns/,Snopes,,,vote
372,2021-03-11T11:43:56Z,"Former White House Press Secretary Ari Fleischer said showing identification when getting a COVID-19 vaccine in New York was just as ""sensible"" as voter ID laws being pushed by Republican legislators.",Correct Attribution,https://www.snopes.com/fact-check/ari-fleischer-covid/,Snopes,,,vote
373,2021-03-06T13:17:15Z,"In March 2021, Georgia lawmakers were considering a bill that would update existing laws that prohibit offering gifts to voters at polls to explicitly include language that would make giving food or water to voters standing in line a misdemeanor crime, no matter the circumstances.",True,https://www.snopes.com/fact-check/georgia-food-water-voters-line/,Snopes,,,vote
374,2021-03-04T12:45:27Z,"The For the People Act of 2021, also known as U.S. H.R.1, would ensure ""that millions of illegal immigrants are quickly registered to vote"" by forcing states to adopt universal mail-in ballots, early voting, same-day voter registration, online voter registration, and automatic voter registration.",False,https://www.snopes.com/fact-check/pence-op-ed-hr1-immigrants/,Snopes,,,vote
375,2021-03-04T14:42:03Z,"On March 2, 2021, U.S. Rep. Marjorie Taylor Greene called the practice of going through metal detectors in the U.S. House a form of voter suppression.",Correct Attribution,https://www.snopes.com/fact-check/marjorie-taylor-greene-voter/,Snopes,,,vote
376,2021-02-02T16:43:05Z,Myanmar's 2020 election used Dominion Voting Systems and Smartmatic software.,False,https://www.snopes.com/fact-check/myanmar-dominion-smartmatic/,Snopes,,,vote
377,2021-01-15T14:27:53Z,"Former U.S. President Barack Obama ""ordered"" former Italian Prime Minister Matteo Renzi to cooperate in a massive-scale voter fraud scheme to flip votes from Trump to Biden, four years into the future.",False,https://www.snopes.com/fact-check/obama-renzi-rig-election/,Snopes,,,vote
378,2022-08-08T00:00:00Z,“Ted Cruz leaks new document obtained from Hunter’s laptop implicating Nancy Pelosi.”,False,https://www.politifact.com/factchecks/2022/aug/09/facebook-posts/no-ted-cruz-didnt-leak-document-implicating-hunter/,PolitiFact,,,election-ballots
379,2022-07-11T00:00:00Z,Images from Hunter Biden’s laptop show Joe Biden naked with a young girl.,Pants on Fire,https://www.politifact.com/factchecks/2022/jul/13/facebook-posts/no-viral-images-dont-show-joe-biden-naked-young-gi/,PolitiFact,,,election-ballots
380,2022-07-07T00:00:00Z,"""While Americans are paying record high prices at the pump, this administration decides to give our oil to the EU and China.""",Misunderstands global oil market,https://www.politifact.com/article/2022/jul/11/why-us-selling-stockpiled-oil-china-we-have-answer/,PolitiFact,,,election-ballots
381,2022-04-19T00:00:00Z,“Hunter Biden arrested this morning.”,Pants on Fire,https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/no-hunter-biden-was-not-arrested-april-19/,PolitiFact,,,election-ballots
382,2022-04-04T00:00:00Z,The FBI lost Hunter Biden’s laptop.,False,https://www.politifact.com/factchecks/2022/apr/06/donald-trump-jr/fbi-lost-hunter-bidens-laptop-theres-no-evidence/,PolitiFact,,,election-ballots
383,2022-03-24T00:00:00Z,"""U.S. President Joe Biden himself is involved in the creation of biolaboratories in Ukraine. An investment fund run by his sun (sic) Hunter Biden funded research and the implementation of the United States’ military biological program.""",Misleading,https://www.politifact.com/article/2022/apr/01/facts-behind-russian-right-wing-narratives-claimin/,PolitiFact,,,election-ballots
384,2022-03-24T00:00:00Z,“Hunter Biden has been arrested!”,Pants on Fire,https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/no-hunter-biden-hasnt-been-arrested-despite-persis/,PolitiFact,,,election-ballots
385,2021-10-25T00:00:00Z,"“Clintons, Powell, and Hunter Biden have already undergone military tribunals.”",Pants on Fire,https://www.politifact.com/factchecks/2021/oct/26/facebook-posts/no-clintons-colin-powell-and-hunter-biden-didnt-ha/,PolitiFact,,,election-ballots
386,2021-10-25T00:00:00Z,The military raided Hunter Biden’s home.,Pants on Fire,https://www.politifact.com/factchecks/2021/oct/26/facebook-posts/no-military-didnt-raid-hunter-bidens-home/,PolitiFact,,,election-ballots
387,2021-10-17T00:00:00Z,Says Hunter Biden “was hanged at Gitmo.”,Pants on Fire,https://www.politifact.com/factchecks/2021/oct/18/facebook-posts/no-hunter-biden-hasnt-been-hanged/,PolitiFact,,,election-ballots
388,2021-09-06T00:00:00Z,“The Bidens own 10% of” a Chinese firm whose stock is up almost 300%” since Joe Biden was elected.,False,https://www.politifact.com/factchecks/2021/sep/10/viral-image/claim-about-bidens-ownership-chinese-firm-soaring-/,PolitiFact,,,election-ballots
389,2021-08-31T00:00:00Z,“Military arrests Hunter Biden!”,Pants on Fire,https://www.politifact.com/factchecks/2021/sep/08/blog-posting/no-military-didnt-arrest-hunter-biden/,PolitiFact,,,election-ballots
390,2021-04-12T00:00:00Z,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",False,https://www.politifact.com/factchecks/2021/apr/15/george-papadopoulos/no-evidence-joe-biden-withholding-aid-ukraine-help/,PolitiFact,,,election-ballots
391,2021-02-02T00:00:00Z,"""The Biden family is so heavily invested in oil and energy in other countries.""",Mostly False,https://www.politifact.com/factchecks/2021/feb/10/facebook-posts/fact-checking-whether-biden-family-heavily-investe/,PolitiFact,,,election-ballots
392,2021-01-23T00:00:00Z,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,False,https://www.politifact.com/factchecks/2021/jan/28/facebook-posts/no-bidens-didnt-invest-their-family-fortune-ukrani/,PolitiFact,,,election-ballots
393,2022-03-04T00:00:00Z,Hunter Biden’s payments from the Ukrainian oil and gas company Burisma Holdings ended with the Russian invasion of Ukraine.,False,https://www.factcheck.org/2022/03/hunter-biden-left-ukrainian-company-in-2019-contrary-to-ted-nugent-post/,FactCheck.org,,,election-ballots
394,2021-09-02T08:26:07Z,"U.S. President Joe Biden's son Hunter Biden was arrested in August 2021 at Dulles International Airport in Washington, D.C.",Originated as Satire,https://www.snopes.com/fact-check/hunter-biden-arrest/,Snopes,,,election-ballots
